service_id,date,exception_type
15N_S,20151102,1
15N_S,20151103,1
15N_S,20151104,1
15N_S,20151105,1
15N_S,20151106,1
15N_A,20151107,1
15N_I,20151108,1
15N_S,20151109,1
15N_S,20151110,1
15N_S,20151111,1
15N_S,20151112,1
15N_S,20151113,1
15N_A,20151114,1
15N_I,20151115,1
15N_S,20151116,1
15N_S,20151117,1
15N_S,20151118,1
15N_S,20151119,1
15N_S,20151120,1
15N_A,20151121,1
15N_I,20151122,1
15N_S,20151123,1
15N_S,20151124,1
15N_S,20151125,1
15N_S,20151126,1
15N_S,20151127,1
15N_A,20151128,1
15N_I,20151129,1
15N_S,20151130,1
15N_S,20151201,1
15N_S,20151202,1
15N_S,20151203,1
15N_S,20151204,1
15N_A,20151205,1
15N_I,20151206,1
15N_S,20151207,1
15N_S,20151208,1
15N_S,20151209,1
15N_S,20151210,1
15N_S,20151211,1
15N_A,20151212,1
15N_I,20151213,1
15N_S,20151214,1
15N_S,20151215,1
15N_S,20151216,1
15N_S,20151217,1
15N_S,20151218,1
15N_A,20151219,1
15N_I,20151220,1
15N_S,20151221,1
15N_S,20151222,1
15N_S,20151223,1
15N_S,20151224,1
15N_F1,20151225,1
15N_F2,20151226,1
15N_I,20151227,1
15N_S,20151228,1
15N_S,20151229,1
15N_S,20151230,1
15N_S,20151231,1
15N_F3,20160101,1
15N_F4,20160102,1
15N_I,20160103,1
16J_S,20160104,1
16J_S,20160105,1
16J_S,20160106,1
16J_S,20160107,1
16J_S,20160108,1
16J_A,20160109,1
16J_I,20160110,1
16J_S,20160111,1
16J_S,20160112,1
16J_S,20160113,1
16J_S,20160114,1
16J_S,20160115,1
16J_A,20160116,1
16J_I,20160117,1
16J_S,20160118,1
16J_S,20160119,1
16J_S,20160120,1
16J_S,20160121,1
16J_S,20160122,1
16J_A,20160123,1
16J_I,20160124,1
16J_S,20160125,1
16J_S,20160126,1
16J_S,20160127,1
16J_S,20160128,1
16J_S,20160129,1
16J_A,20160130,1
16J_I,20160131,1
16J_S,20160201,1
16J_S,20160202,1
16J_S,20160203,1
16J_S,20160204,1
16J_S,20160205,1
16J_A,20160206,1
16J_I,20160207,1
16J_S,20160208,1
16J_S,20160209,1
16J_S,20160210,1
16J_S,20160211,1
16J_S,20160212,1
16J_A,20160213,1
16J_I,20160214,1
16J_S,20160215,1
16J_S,20160216,1
16J_S,20160217,1
16J_S,20160218,1
16J_S,20160219,1
16J_A,20160220,1
16J_I,20160221,1
16J_S,20160222,1
16J_S,20160223,1
16J_S,20160224,1
16J_S,20160225,1
16J_S,20160226,1
16J_A,20160227,1
16J_I,20160228,1
16J_S,20160229,1
16J_S,20160301,1
16J_S,20160302,1
16J_S,20160303,1
16J_S,20160304,1
16J_A,20160305,1
16J_I,20160306,1
16J_S,20160307,1
16J_S,20160308,1
16J_S,20160309,1
16J_S,20160310,1
16J_S,20160311,1
16J_A,20160312,1
16J_I,20160313,1
16J_S,20160314,1
16J_S,20160315,1
16J_S,20160316,1
16J_S,20160317,1
16J_S,20160318,1
16J_A,20160319,1
16J_I,20160320,1
