trip_id,start_time,end_time,headway_secs
15N_15N_S_1_3,05:30:00,05:40:00,600
15N_15N_S_1_3,05:40:00,06:08:30,570
15N_15N_S_1_3,06:08:30,06:25:30,510
15N_15N_S_1_3,06:25:30,06:33:30,480
15N_15N_S_1_3,06:33:30,06:40:30,420
15N_15N_S_1_3,06:40:30,06:52:30,360
15N_15N_S_1_3,06:52:30,06:57:00,270
15N_15N_S_1_3,06:57:00,07:21:00,240
15N_15N_S_1_3,07:21:00,07:30:45,195
15N_15N_S_1_3,07:30:45,07:45:45,180
15N_15N_S_1_3,07:45:45,08:35:15,165
15N_15N_S_1_3,08:35:15,08:45:45,210
15N_15N_S_1_3,08:45:45,08:50:05,260
15N_15N_S_1_3,08:50:05,08:54:35,270
15N_15N_S_1_3,08:54:35,09:09:35,300
15N_15N_S_1_3,09:09:35,09:15:25,350
15N_15N_S_1_3,09:15:25,10:14:35,355
15N_15N_S_1_3,10:14:35,14:56:35,360
15N_15N_S_1_3,14:56:35,15:01:45,310
15N_15N_S_1_3,15:01:45,15:06:35,290
15N_15N_S_1_3,15:06:35,15:20:05,270
15N_15N_S_1_3,15:20:05,15:36:05,240
15N_15N_S_1_3,15:36:05,16:28:35,225
15N_15N_S_1_3,16:28:35,16:39:20,215
15N_15N_S_1_3,16:39:20,17:17:50,210
15N_15N_S_1_3,17:17:50,17:33:10,230
15N_15N_S_1_3,17:33:10,18:05:10,240
15N_15N_S_1_3,18:05:10,18:09:40,270
15N_15N_S_1_3,18:09:40,18:39:40,300
15N_15N_S_1_3,18:39:40,18:44:45,305
15N_15N_S_1_3,18:44:45,19:20:45,360
15N_15N_S_1_3,19:20:45,19:27:05,380
15N_15N_S_1_3,19:27:05,20:06:05,390
15N_15N_S_1_3,20:06:05,21:28:35,450
15N_15N_S_1_3,21:28:35,21:36:35,480
15N_15N_S_1_3,21:36:35,21:45:20,525
15N_15N_S_1_3,21:45:20,23:01:20,570
15N_15N_S_1_3,23:01:20,23:20:50,585
15N_15N_S_1_3,23:20:50,23:52:20,630
15N_15N_S_1_3,23:52:20,24:03:00,640
15N_15N_S_1_3,24:03:00,24:14:00,660
15N_15N_S_1_3,24:14:00,24:38:00,720
15N_15N_S_1_2,05:30:00,05:40:00,600
15N_15N_S_1_2,05:40:00,05:49:30,570
15N_15N_S_1_2,05:49:30,05:58:30,540
