trip_id,arrival_time,departure_time,stop_id,stop_sequence
15N_A_80_01_2_470_1,04:37:00,04:37:00,3601669,1
15N_A_80_01_2_470_1,04:37:53,04:37:53,3602633,2
15N_A_80_01_2_470_1,04:39:00,04:39:00,3602404,3
15N_A_80_01_2_470_1,04:40:00,04:40:00,3601134,4
15N_A_80_01_2_470_1,04:40:39,04:40:39,3601144,5
15N_A_80_01_2_470_1,04:41:26,04:41:26,3600004,6
15N_A_80_01_2_470_1,04:43:00,04:43:00,3600264,7
15N_A_80_01_2_470_1,04:44:39,04:44:39,3601444,8
15N_A_80_01_2_470_1,04:45:56,04:45:56,3600394,9
15N_A_80_01_2_470_1,04:46:25,04:46:25,3601455,10
15N_A_80_01_2_470_1,04:47:58,04:47:58,3601154,11
15N_A_80_01_2_470_1,04:49:00,04:49:00,3600524,12
15N_A_80_01_2_470_1,04:50:16,04:50:16,3602443,13
15N_A_80_01_2_470_1,04:51:02,04:51:02,3201323,14
15N_A_80_01_2_470_1,04:52:08,04:52:08,3200263,15
15N_A_80_01_2_470_1,04:54:15,04:54:15,3200283,16
15N_A_80_01_2_470_1,04:55:56,04:55:56,3200303,17
15N_A_80_01_2_470_1,04:57:22,04:57:22,3200053,18
15N_A_80_01_2_470_1,04:58:46,04:58:46,3200373,19
15N_A_80_01_2_470_1,04:59:17,04:59:17,3100343,20
15N_A_80_01_2_470_1,05:00:08,05:00:08,3100373,21
15N_A_80_01_2_470_1,05:02:00,05:03:00,3102144,22
15N_A_80_01_2_470_1,05:22:00,05:22:00,1909403,23
15N_A_80_01_4_470_1,05:30:00,05:30:00,1905613,1
15N_A_80_01_4_470_1,05:50:45,05:50:45,3102771,2
15N_A_80_01_4_470_1,05:52:00,05:53:00,3102968,3
15N_A_80_01_4_470_1,05:55:11,05:55:11,3201101,4
15N_A_80_01_4_470_1,05:55:59,05:55:59,3200061,5
15N_A_80_01_4_470_1,05:57:16,05:57:16,3200301,6
15N_A_80_01_4_470_1,05:58:34,05:58:34,3200281,7
15N_A_80_01_4_470_1,06:00:13,06:00:13,3201271,8
15N_A_80_01_4_470_1,06:01:21,06:01:21,3600571,9
15N_A_80_01_4_470_1,06:01:49,06:01:49,3602451,10
15N_A_80_01_4_470_1,06:03:00,06:03:00,3600527,11
15N_A_80_01_4_470_1,06:03:55,06:03:55,3601152,12
15N_A_80_01_4_470_1,06:05:16,06:05:16,3600422,13
15N_A_80_01_4_470_1,06:05:57,06:05:57,3600392,14
15N_A_80_01_4_470_1,06:07:17,06:07:17,3600312,15
15N_A_80_01_4_470_1,06:09:00,06:09:00,3600262,16
15N_A_80_01_4_470_1,06:10:57,06:10:57,3600232,17
15N_A_80_01_4_470_1,06:12:00,06:12:00,3601142,18
15N_A_80_01_4_470_1,06:13:10,06:13:10,3601191,19
15N_A_80_01_4_470_1,06:14:00,06:14:00,3601669,20
15N_A_80_01_5_470_1,06:33:00,06:33:00,3601669,1
15N_A_80_01_5_470_1,06:33:53,06:33:53,3602633,2
15N_A_80_01_5_470_1,06:35:00,06:35:00,3602404,3
15N_A_80_01_5_470_1,06:36:00,06:36:00,3601134,4
15N_A_80_01_5_470_1,06:36:39,06:36:39,3601144,5
15N_A_80_01_5_470_1,06:37:26,06:37:26,3600004,6
15N_A_80_01_5_470_1,06:39:00,06:39:00,3600264,7
15N_A_80_01_5_470_1,06:40:39,06:40:39,3601444,8
15N_A_80_01_5_470_1,06:41:56,06:41:56,3600394,9
15N_A_80_01_5_470_1,06:42:25,06:42:25,3601455,10
15N_A_80_01_5_470_1,06:43:58,06:43:58,3601154,11
15N_A_80_01_5_470_1,06:45:00,06:45:00,3600524,12
15N_A_80_01_5_470_1,06:46:16,06:46:16,3602443,13
15N_A_80_01_5_470_1,06:47:02,06:47:02,3201323,14
15N_A_80_01_5_470_1,06:48:08,06:48:08,3200263,15
15N_A_80_01_5_470_1,06:50:15,06:50:15,3200283,16
15N_A_80_01_5_470_1,06:51:56,06:51:56,3200303,17
15N_A_80_01_5_470_1,06:53:22,06:53:22,3200053,18
15N_A_80_01_5_470_1,06:54:46,06:54:46,3200373,19
15N_A_80_01_5_470_1,06:55:17,06:55:17,3100343,20
15N_A_80_01_5_470_1,06:56:08,06:56:08,3100373,21
15N_A_80_01_5_470_1,06:58:00,06:59:00,3102144,22
15N_A_80_01_5_470_1,07:18:00,07:18:00,1909403,23
15N_A_80_01_7_470_1,07:30:00,07:30:00,1905613,1
15N_A_80_01_7_470_1,07:50:45,07:50:45,3102771,2
15N_A_80_01_7_470_1,07:52:00,07:53:00,3102968,3
15N_A_80_01_7_470_1,07:55:11,07:55:11,3201101,4
15N_A_80_01_7_470_1,07:55:59,07:55:59,3200061,5
15N_A_80_01_7_470_1,07:57:16,07:57:16,3200301,6
15N_A_80_01_7_470_1,07:58:34,07:58:34,3200281,7
15N_A_80_01_7_470_1,08:00:13,08:00:13,3201271,8
15N_A_80_01_7_470_1,08:01:21,08:01:21,3600571,9
15N_A_80_01_7_470_1,08:01:49,08:01:49,3602451,10
15N_A_80_01_7_470_1,08:03:00,08:03:00,3600527,11
15N_A_80_01_7_470_1,08:03:55,08:03:55,3601152,12
15N_A_80_01_7_470_1,08:05:16,08:05:16,3600422,13
15N_A_80_01_7_470_1,08:05:57,08:05:57,3600392,14
15N_A_80_01_7_470_1,08:07:17,08:07:17,3600312,15
15N_A_80_01_7_470_1,08:09:00,08:09:00,3600262,16
15N_A_80_01_7_470_1,08:10:57,08:10:57,3600232,17
15N_A_80_01_7_470_1,08:12:00,08:12:00,3601142,18
15N_A_80_01_7_470_1,08:13:10,08:13:10,3601191,19
15N_A_80_01_7_470_1,08:14:00,08:14:00,3601669,20
15N_A_80_01_8_470_1,08:29:00,08:29:00,3601669,1
15N_A_80_01_8_470_1,08:29:53,08:29:53,3602633,2
15N_A_80_01_8_470_1,08:31:00,08:31:00,3602404,3
15N_A_80_01_8_470_1,08:32:00,08:32:00,3601134,4
15N_A_80_01_8_470_1,08:32:39,08:32:39,3601144,5
15N_A_80_01_8_470_1,08:33:26,08:33:26,3600004,6
15N_A_80_01_8_470_1,08:35:00,08:35:00,3600264,7
15N_A_80_01_8_470_1,08:36:56,08:36:56,3601444,8
15N_A_80_01_8_470_1,08:38:25,08:38:25,3600394,9
15N_A_80_01_8_470_1,08:39:00,08:39:00,3601455,10
15N_A_80_01_8_470_1,08:40:48,08:40:48,3601154,11
15N_A_80_01_8_470_1,08:42:00,08:42:00,3600524,12
15N_A_80_01_8_470_1,08:43:16,08:43:16,3602443,13
15N_A_80_01_8_470_1,08:44:02,08:44:02,3201323,14
15N_A_80_01_8_470_1,08:45:08,08:45:08,3200263,15
15N_A_80_01_8_470_1,08:47:15,08:47:15,3200283,16
15N_A_80_01_8_470_1,08:48:56,08:48:56,3200303,17
15N_A_80_01_8_470_1,08:50:22,08:50:22,3200053,18
15N_A_80_01_8_470_1,08:51:46,08:51:46,3200373,19
15N_A_80_01_8_470_1,08:52:17,08:52:17,3100343,20
15N_A_80_01_8_470_1,08:53:08,08:53:08,3100373,21
15N_A_80_01_8_470_1,08:55:00,08:56:00,3102144,22
15N_A_80_01_8_470_1,09:16:00,09:16:00,1909403,23
15N_A_80_01_10_80_1,09:38:00,09:38:00,133503,1
15N_A_80_01_10_80_1,09:38:35,09:38:35,105372,2
15N_A_80_01_10_80_1,09:40:15,09:40:15,105793,3
15N_A_80_01_10_80_1,09:41:30,09:41:30,106283,4
15N_A_80_01_10_80_1,09:42:57,09:42:57,106633,5
15N_A_80_01_10_80_1,09:44:32,09:44:32,107013,6
15N_A_80_01_10_80_1,09:46:25,09:46:25,107523,7
15N_A_80_01_10_80_1,09:47:12,09:47:12,107564,8
15N_A_80_01_10_80_1,09:48:00,09:48:00,107704,9
15N_A_80_01_10_80_1,09:50:06,09:50:06,108653,10
15N_A_80_01_10_80_1,09:51:08,09:51:08,104630,11
15N_A_80_01_10_80_1,09:51:54,09:51:54,109253,12
15N_A_80_01_10_80_1,09:53:00,09:53:00,109668,13
15N_A_100_08_14_100_1,21:48:36,21:48:36,2001580,15
15N_A_100_08_14_100_1,21:49:52,21:49:52,2001240,16
15N_A_100_08_14_100_1,21:50:16,21:50:16,2000930,17
15N_A_100_08_14_100_1,21:51:00,21:51:00,2001590,18
15N_A_100_08_14_100_1,21:51:39,21:51:39,2001604,19
15N_A_100_08_14_100_1,21:52:04,21:52:04,2001615,20
15N_A_100_08_14_100_1,21:52:50,21:52:50,2001624,21
15N_A_100_08_14_100_1,21:53:32,21:53:32,2001634,22
15N_A_100_08_14_100_1,21:54:02,21:54:02,2001644,23
15N_A_100_08_14_100_1,21:56:08,21:56:08,2001150,24
15N_A_100_08_14_100_1,21:56:29,21:56:29,2001200,25
15N_A_100_08_14_100_1,21:56:54,21:56:54,2001124,26
15N_A_100_08_14_100_1,21:57:31,21:57:31,2001220,27
15N_A_100_08_14_100_1,21:58:00,21:58:00,104684,28
15N_A_100_08_14_100_1,21:58:15,21:58:15,129605,29
15N_A_100_08_14_100_1,21:58:32,21:58:32,104794,30
15N_A_100_08_14_100_1,21:59:52,21:59:52,105204,31
15N_A_100_08_14_100_1,22:00:07,22:00:07,105364,32
15N_A_100_08_14_100_1,22:00:20,22:00:20,105245,33
15N_A_100_08_14_100_1,22:00:33,22:00:33,105265,34
15N_A_100_08_14_100_1,22:00:44,22:00:44,105594,35
15N_A_100_08_14_100_1,22:01:00,22:01:00,105694,36
15N_A_100_08_14_100_1,22:03:00,22:03:00,105914,37
15N_A_100_08_16_100_1,22:15:00,22:15:00,105912,1
15N_A_100_08_16_100_1,22:15:26,22:15:26,129587,2
15N_A_100_08_16_100_1,22:15:39,22:15:39,105262,3
15N_A_100_08_16_100_1,22:16:00,22:16:00,105242,4
15N_A_100_08_16_100_1,22:16:15,22:16:15,130302,5
15N_A_100_08_16_100_1,22:16:29,22:16:29,105202,6
15N_A_100_08_16_100_1,22:16:42,22:16:42,105042,7
15N_A_100_08_16_100_1,22:18:13,22:18:13,129617,8
15N_A_100_08_16_100_1,22:19:24,22:19:24,1906259,9
15N_A_100_08_16_100_1,22:19:48,22:19:48,1904912,10
15N_A_100_08_16_100_1,22:21:18,22:21:18,1904877,11
15N_A_100_08_16_100_1,22:21:34,22:21:34,1906249,12
15N_A_100_08_16_100_1,22:21:42,22:21:42,1904842,13
15N_A_100_08_16_100_1,22:22:13,22:22:13,1904802,14
15N_A_100_08_16_100_1,22:22:31,22:22:31,1904782,15
15N_A_100_08_16_100_1,22:23:00,22:23:00,1904722,16
15N_A_100_08_16_100_1,22:24:15,22:24:15,1905609,17
15N_A_100_08_16_100_1,22:25:00,22:25:00,100085,18
15N_A_100_08_16_100_1,22:26:37,22:26:37,1901889,19
