route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,note_fr,note_en
2,15N_S,15N_15N_S_2_0_151575633,STATION MONTMORENCY,0,20022,2,,
2,15N_A,15N_15N_A_2_0_151212682,STATION MONTMORENCY,0,20022,2,,
2,15N_I,15N_15N_I_2_0_151215422,STATION MONTMORENCY,0,20022,2,,
2,15N_F1,15N_15N_F1_2_0_151130071,STATION MONTMORENCY,0,20022,2,,
2,15N_F2,15N_15N_F2_2_0_151197199,STATION MONTMORENCY,0,20022,2,,
2,15N_F3,15N_15N_F3_2_0_151193623,STATION MONTMORENCY,0,20022,2,,
2,15N_F4,15N_15N_F4_2_0_151201578,STATION MONTMORENCY,0,20022,2,,
2,16J_S,16J_16J_S_2_0_154189224,STATION MONTMORENCY,0,20022,2,,
2,16J_A,16J_16J_A_2_0_154137469,STATION MONTMORENCY,0,20022,2,,
2,16J_I,16J_16J_I_2_0_154140209,STATION MONTMORENCY,0,20022,2,,
1,15N_S,15N_15N_S_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_S,15N_15N_S_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_S,15N_15N_S_2_0,STATION MONTMORENCY,0,20023,2,,
2,15N_S,15N_15N_S_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_S,15N_15N_S_4_0,STATION BERRI-UQÀM,0,40005,2,,
4,15N_S,15N_15N_S_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_S,15N_15N_S_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_S,15N_15N_S_5_3,STATION SNOWDON,1,51745,2,,
1,15N_A,15N_15N_A_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_A,15N_15N_A_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_A,15N_15N_A_2_0,STATION MONTMORENCY,0,20022,2,,
2,15N_A,15N_15N_A_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_A,15N_15N_A_4_0,STATION BERRI-UQÀM,0,40005,2,,
4,15N_A,15N_15N_A_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_A,15N_15N_A_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_A,15N_15N_A_5_3,STATION SNOWDON,1,,2,,
1,15N_I,15N_15N_I_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_I,15N_15N_I_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_I,15N_15N_I_2_0,STATION MONTMORENCY,0,20022,2,,
2,15N_I,15N_15N_I_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_I,15N_15N_I_4_0,STATION BERRI-UQÀM,0,40005,2,,
